Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
П'ЯТНИЦЯ            16.09;2;Технологія виробництва та обробка конструкційних матеріалів                                       доц. Федорова О.В.;Технологія виробництва та обробка конструкційних матеріалів                                       доц. Федорова О.В.;;;Економ. підпр. ІІ               викл.Гилка У.Л.;Маркетинг в туризмі викл. Шевченко-Перепьолкіна Р.І.;;;;;;;
П'ЯТНИЦЯ            16.09;3;Ергономіка доц.Букатова О.М.;Ергономіка доц.Букатова О.М.;;;;;;;;;;;
П'ЯТНИЦЯ            16.09;4;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;Фізична культура та основи здоров`я людини          викл.Бочарова Т.В., викл.Долженко І.В.;;;;;;;
П'ЯТНИЦЯ            16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;;
Дні;Пари;41 група;42 група;43 група;44 група;;;;;;;;;
Дні;Пари;Тех. (інформ.);Інформатика ;Економіка підприємства;Туризм;;;;;;;;;
ПОНЕДІЛОК    12.09;1;Д І С                                            викл.Дмитрієва М.В.;;Фінансова діяльність суб`єктів підприємництва                     проф.Сосновський А.В.;Турлогістика                                  викл. Шевченко-Перепьолкіна Р.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;2;МТЗТ підготовки школярів                   викл.Трішин В.В.;Метод. навч. математики                        викл. Щоголева Т.М.;Капітал підприємства  ст.викл.Яковенко О.І.;Рекреаційна географія                              доц. Тодоров В.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;3;;П Р П П                                            викл.Дмитрієва М.В.;Економіка і організація інноваційної діяльності доц.Сорока Л.М.;Менеджмент в туризмі  ст.викл.Яковенко О.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;4;;Математичне програмування          викл. Воробйов Я.В.;;Спеціалізований туризм                                доц. Тодоров В.І.;;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК   13.09;1;Р е л і г і є з н а в с т в о                 доц. Запорожченко О.В.;Р е л і г і є з н а в с т в о                 доц. Запорожченко О.В.;;Рекреаційна географія                              доц. Тодоров В.І.;;;;;;;;;
ВІВТОРОК   13.09;2;МТЗТП                                         викл. Тришин В.В.;П Р П П                                           викл.Дмитрієва М.В.;Організація виробництва викл.Степанова Н.О.;Економіка підприємства              викл.Метіль Т.К.;;;;;;;;;
ВІВТОРОК   13.09;3;Теорія ймовірності та мат.статистика  (+3к)            доц.Івлієва О.М.;Основи мікроелектроніки викл.Коваленко О.В.;Англійська мова                                     викл.Шикиринська О.Б.;Організація туризму                       викл.Міщук Ж.В.;;;;;;;;;
ВІВТОРОК   13.09;4;Д І С                                            викл.Дмитрієва М.В.;ІКТ                                                   викл.Дущенко О.С.;Стратегія підприємства            викл.Метіль Т.К.;Туризм в країнах ЧСБ                    доц. Тодоров В.І.;;;;;;;;;
ВІВТОРОК   13.09;5;;;;Спеціалізований туризм                                доц. Тодоров В.І.;;;;;;;;;
СЕРЕДА                 14.09;1;Методика навчання інформатики                          доц.Мізюк В.А.;Програмування                                викл.Коваленко О.В.;Р е л і г і є з н а в с т в о                 доц. Запорожченко О.В.;Р е л і г і є з н а в с т в о                 доц. Запорожченко О.В.;;;;;;;;;
СЕРЕДА                 14.09;2;Практикум електоромонтажних робіт                                               викл. Тришин В.В.;ІС та БД                                  викл.Коваленко О.В.;Англійська мова                           доц.Чуфарлічева А.Ю.;Економіка підприємства              викл.Метіль Т.К.;;;;;;;;;
СЕРЕДА                 14.09;3;Практикум електоромонтажних робіт                                               викл. Тришин В.В.;Елементарна математика                 доц. Івлієва О.М.;Капітал підприємства   ст.викл.Яковенко О.І.;Рекреаційна географія                              доц. Тодоров В.І.;;;;;;;;;
СЕРЕДА                 14.09;4;;Метод. навч. математики                 викл. Щоголева Т.М.;Економіка праці та соціально-трудові відносини викл.Степанова Н.О.;Турлогістика                                  викл. Шевченко-Перепьолкіна Р.І.;;;;;;;;;
СЕРЕДА                 14.09;5;;;;Туризм в країнах ЧСБ                                  доц. Тодоров В.І.;;;;;;;;;
ЧЕТВЕР         15.09;1;Методика навчання інформатики                    доц.Мізюк В.А.;ІС та БД                                  викл.Коваленко О.В.;Економіка і організація інноваційної діяльності доц.Сорока Л.М.;Підприємство та бізнес-культура у сфері туризму                            викл.Метіль Т.К.;;;;;;;;;
ЧЕТВЕР         15.09;2;Д І С                                            викл.Дмитрієва М.В.;Математичне програмування          викл. Воробйов Я.В.;Стратегія підприємства            викл.Метіль Т.К.;Організація туризму                       викл.Міщук Ж.В.;;;;;;;;;
ЧЕТВЕР         15.09;3;Теорія ймовірності та мат.статистика  (+3к)                         доц.Івлієва О.М.;Основи мікроелектроніки викл.Коваленко О.В.;Фінансова діяльність суб`єктів підприємництва                     проф.Сосновський А.В.;Спеціалізований туризм                                доц. Тодоров В.І.;;;;;;;;;
ЧЕТВЕР         15.09;4;;ІКТ                                                   викл.Дущенко О.С.;Капітал підприємства  ст.викл.Яковенко О.І.;Туризм в країнах ЧСБ                                  доц. Тодоров В.І.;;;;;;;;;
ЧЕТВЕР         15.09;5;;;;;;;;;;;;;
П'ЯТНИЦЯ         16.09;1;Р е л і г і є з н а в с т в о     (+ФУФСН)              доц. Запорожченко О.В.;Р е л і г і є з н а в с т в о     (+ФУФСН)              доц. Запорожченко О.В.;Р е л і г і є з н а в с т в о     (+ФУФСН)              доц. Запорожченко О.В.;Р е л і г і є з н а в с т в о     (+ФУФСН)              доц. Запорожченко О.В.;;;;;;;;;
П'ЯТНИЦЯ         16.09;2;;;Організація виробництва викл.Степанова Н.О.;Туризм в країнах ЧСБ                                  доц. Тодоров В.І.;;;;;;;;;
П'ЯТНИЦЯ         16.09;3;;П Р П П                                            викл.Дмитрієва М.В.;Економіка праці та соціально-трудові відносини викл.Степанова Н.О.;Економіка підприємства              викл.Метіль Т.К.;;;;;;;;;
П'ЯТНИЦЯ         16.09;4;;Метод. навч. матем.                           викл. Щоголева Т.М.;;Спеціалізований туризм                                доц. Тодоров В.І.;;;;;;;;;
П'ЯТНИЦЯ         16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;;;
Дні;Пари;511 група;512 група;53 група;;;;;;;;;;
Дні;Пари;Труд. навчання (основи економ.);Труд. навчання (інформ.);Економіка та управління підприємством;;;;;;;;;;
ПОНЕДІЛОК    12.09;1;О  х  о  р  о  н  а         п  р  а  ц  і       в       г  а  л  у  з  і    (+ФУФСН)                                                                                                доц.Букатова О.М.;О  х  о  р  о  н  а         п  р  а  ц  і       в       г  а  л  у  з  і    (+ФУФСН)                                                                                                доц.Букатова О.М.;О  х  о  р  о  н  а         п  р  а  ц  і       в       г  а  л  у  з  і    (+ФУФСН)                                                                                                доц.Букатова О.М.;;;;;;;;;;
ПОНЕДІЛОК    12.09;2;Автоматизація технологічних процесів                                                                            доц. Федорова О.В.;Автоматизація технологічних процесів                                                                            доц. Федорова О.В.;Організація і методика проведення аудиту                                         викл.Степанова Н.О.;;;;;;;;;;
ПОНЕДІЛОК    12.09;3;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Економічна діагностика викл.Степанова Н.О.;;;;;;;;;;
ПОНЕДІЛОК    12.09;4;Інтелектуальна власність (+ФУФСН+ІНФАК) доц.Овчатова-Редько А.О.;Інтелектуальна власність (+ФУФСН+ІНФАК) доц.Овчатова-Редько А.О.;Інтелектуальна власність (+ФУФСН+ІНФАК) доц.Овчатова-Редько А.О.;;;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК   13.09;1;Автоматизація технологічних процесів                                                                            доц. Федорова О.В.;Автоматизація технологічних процесів                                                                            доц. Федорова О.В.;Глобальна економія   (+6к)                               доц.Сорока Л.М.;;;;;;;;;;
ВІВТОРОК   13.09;2;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Економіка управління підприємством (+6к) ст.викл.Яковенко О.І.;;;;;;;;;;
ВІВТОРОК   13.09;3;;Інноваційні технології навчання інформатики (+ПЕДФАК)                                            доц. Мізюк В.А.;Організація обліку                                      викл.Степанова Н.О.;;;;;;;;;;
ВІВТОРОК   13.09;4;О  х  о  р  о  н  а         п  р  а  ц  і       в       г  а  л  у  з  і    (+ФУФСН)                                                                                                доц.Букатова О.М.;О  х  о  р  о  н  а         п  р  а  ц  і       в       г  а  л  у  з  і    (+ФУФСН)                                                                                                доц.Букатова О.М.;О  х  о  р  о  н  а         п  р  а  ц  і       в       г  а  л  у  з  і    (+ФУФСН)                                                                                                доц.Букатова О.М.;;;;;;;;;;
ВІВТОРОК   13.09;5;;;;;;;;;;;;;
СЕРЕДА           14.09;1;;;;;;;;;;;;;
СЕРЕДА           14.09;2;Декоративно-ужиткове мистецтво з методикою навчання                                           викл. Драгієва Л.В.;Декоративно-ужиткове мистецтво з методикою навчання                                           викл. Драгієва Л.В.;;;;;;;;;;;
СЕРЕДА           14.09;3;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Англійська  мова  за п/с                                     доц.Чуфарлічева А.Ю.;;;;;;;;;;
СЕРЕДА           14.09;4;;;Управління проектами (+6 к.)                ст.викл.Яковенко О.І.;;;;;;;;;;
СЕРЕДА           14.09;5;;;;;;;;;;;;;
ЧЕТВЕР          15.09;1;;;;;;;;;;;;;
ЧЕТВЕР          15.09;2;;;;;;;;;;;;;
ЧЕТВЕР          15.09;3;;Інноваційні технології навчання інформатики (+ПЕДФАК)                                            доц. Мізюк В.А.;Економіка управління підприємством (+6к) ст.викл.Яковенко О.І.;;;;;;;;;;
ЧЕТВЕР          15.09;4;;;;;;;;;;;;;
ЧЕТВЕР          15.09;5;;Сучасні мови програмування викл.Дущенко О.С.;;;;;;;;;;;
П'ЯТНИЦЯ             16.09;1;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Теорія та методика профільного навчання                                                                    викл.Драгієва Л.В.;Глобальна економія (+6к)                                  доц.Сорока Л.М.;;;;;;;;;;
П'ЯТНИЦЯ             16.09;2;Декоративно-ужиткове мистецтво з методикою навчання                                           викл. Драгієва Л.В.;Декоративно-ужиткове мистецтво з методикою навчання                                           викл. Драгієва Л.В.;Управління проектами (+6 к.)                ст.викл.Яковенко О.І.;;;;;;;;;;
П'ЯТНИЦЯ             16.09;3;;Сучасні мови програмування викл.Коваленко О.В.;Економіка управління підприємством (+6к) ст.викл.Яковенко О.І.;;;;;;;;;;
П'ЯТНИЦЯ             16.09;4;;;;;;;;;;;;;
П'ЯТНИЦЯ             16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;;;
Дні;Пари;61 група;63 група;64 група;;;;;;;;;;
Дні;Пари;Трудове навчання;Економіка та управління підприємством;Управління навчальним закладом;;;;;;;;;;
ПОНЕДІЛОК    12.09;1;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;2;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;3;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;4;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК   13.09;1;;Глобальна економія (+5к)                                  доц.Сорока Л.М.;;;;;;;;;;;
ВІВТОРОК   13.09;2;;Економіка управління підприємством (+5к) ст.викл.Яковенко О.І.;;;;;;;;;;;
ВІВТОРОК   13.09;3;Методологія та організація наукових досліджень доц. Запорожченко О.В.;Методологія та організація наукових досліджень доц. Запорожченко О.В.;Методологія та організація наукових досліджень доц. Запорожченко О.В.;;;;;;;;;;
ВІВТОРОК   13.09;4;;;;;;;;;;;;;
ВІВТОРОК   13.09;5;;;;;;;;;;;;;
СЕРЕДА        14.09;1;;;;;;;;;;;;;
СЕРЕДА        14.09;2;;;;;;;;;;;;;
СЕРЕДА        14.09;3;;Соціальна відповідальність доц.Криворак А.Д.;;;;;;;;;;;
СЕРЕДА        14.09;4;;Управління проектами (+5 к.)                ст.викл.Яковенко О.І.;;;;;;;;;;;
СЕРЕДА        14.09;5;;;;;;;;;;;;;
ЧЕТВЕР            15.09;1;;;;;;;;;;;;;
ЧЕТВЕР            15.09;2;;;;;;;;;;;;;
ЧЕТВЕР            15.09;3;Педагогіка вищої школи (+ІНФАК+ФУФСН+ПЕДФАК)                                                                      проф.Кічук Н.В.;Економіка управління підприємством (+5к) ст.викл.Яковенко О.І.;;;;;;;;;;;
ЧЕТВЕР            15.09;4;;Соціальна відповідальність доц.Криворак А.Д.;;;;;;;;;;;
ЧЕТВЕР            15.09;5;;;;;;;;;;;;;
П'ЯТНИЦЯ         16.09;1;;Глобальна економія (+5к)                                  доц.Сорока Л.М.;;;;;;;;;;;
П'ЯТНИЦЯ         16.09;2;Педагогіка вищої школи (+ІНФАК+ФУФСН+ПЕДФАК)                                                                      проф.Кічук Н.В.;Управління проектами (+5 к.)                ст.викл.Яковенко О.І.;;;;;;;;;;;
П'ЯТНИЦЯ         16.09;3;;Економіка управління підприємством (+5к) ст.викл.Яковенко О.І.;;;;;;;;;;;
П'ЯТНИЦЯ         16.09;4;;;;;;;;;;;;;
П'ЯТНИЦЯ         16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;;;;
;;71 група;73 група;;;;;;;;;;;
;;Трудове навчання та технології;Економіка та управління підприємством;;;;;;;;;;;
ПОНЕДІЛОК    12.09;1;Основи електроніки                                                         доц. Федорова О.В.;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;2;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;3;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;4;;;;;;;;;;;;;
ПОНЕДІЛОК    12.09;5;;;;;;;;;;;;;
ВІВТОРОК              13.09;1;;;;;;;;;;;;;
ВІВТОРОК              13.09;2;;;;;;;;;;;;;
ВІВТОРОК              13.09;3;Педагогіка вищої школи(+ІНФАК+ФУФСН)               проф. Кічук Н.В.;;;;;;;;;;;;
ВІВТОРОК              13.09;4;Основи електроніки                                                         доц. Федорова О.В.;;;;;;;;;;;;
ВІВТОРОК              13.09;5;;;;;;;;;;;;;
СЕРЕДА          14.09;1;Цивільний захист                                                           викл.Тірон-Воробйова Н.Б.;;;;;;;;;;;;
СЕРЕДА          14.09;2;;;;;;;;;;;;;
СЕРЕДА          14.09;3;;;;;;;;;;;;;
СЕРЕДА          14.09;4;;;;;;;;;;;;;
СЕРЕДА          14.09;5;;;;;;;;;;;;;
ЧЕТВЕР          15.09;1;;;;;;;;;;;;;
ЧЕТВЕР          15.09;2;;Англійська  мова                                       доц.Чуфарлічева А.Ю.;;;;;;;;;;;
ЧЕТВЕР          15.09;3;Педагогіка вищої школи(+ІНФАК+ФУФСН)               проф. Кічук Н.В.;;;;;;;;;;;;
ЧЕТВЕР          15.09;4;;;;;;;;;;;;;
ЧЕТВЕР          15.09;5;;;;;;;;;;;;;
П'ЯТНИЦЯ          16.09;1;Цивільний захист                                                            викл.Тірон-Воробйова Н.Б.;;;;;;;;;;;;
П'ЯТНИЦЯ          16.09;2;;Англійська  мова                                       доц.Чуфарлічева А.Ю.;;;;;;;;;;;
П'ЯТНИЦЯ          16.09;3;;;;;;;;;;;;;
П'ЯТНИЦЯ          16.09;4;;;;;;;;;;;;;
П'ЯТНИЦЯ          16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;;;;
Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;;
занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;занять факультету управління, адміністрування та інформаційної діяльності;;;;;;;;;
Скорочений термін;Скорочений термін;Скорочений термін;Скорочений термін;Скорочений термін;Скорочений термін;;;;;;;;;
;;17 група;18 група;20 група;19 група;;;;;;;;;
;;Трудове навчання та технології;Інформатика ;Документознавство;Туризм;;;;;;;;;
Понеділок 12.09;1;;;;;;;;;;;;;
Понеділок 12.09;2;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                              доц.Дроздов В.В.;В  с  т  у  п             д  о             с  п  е  ц  і  а  л  ь  н  о  с  т  і     (+ФУФСН)                                                              доц.Дроздов В.В.;;;;;;;;;
Понеділок 12.09;3;;;;;;;;;;;;;
Понеділок 12.09;4;;;;;;;;;;;;;
Понеділок 12.09;5;;;;;;;;;;;;;
Вівторок 13.09;1;;;;;;;;;;;;;
Вівторок 13.09;2;;;;;;;;;;;;;
Вівторок 13.09;3;;;;;;;;;;;;;
Вівторок 13.09;4;;;;;;;;;;;;;
Вівторок 13.09;5;;;;;;;;;;;;;
Середа 14.09;1;;;;;;;;;;;;;
Середа 14.09;2;;;;;;;;;;;;;
Середа 14.09;3;;;;;;;;;;;;;
Середа 14.09;4;;;;;;;;;;;;;
Середа 14.09;5;;;;;;;;;;;;;
Четвер 15.09;1;;;;;;;;;;;;;
Четвер 15.09;2;;;;;;;;;;;;;
Четвер 15.09;3;;;;;;;;;;;;;
Четвер 15.09;4;;;;;;;;;;;;;
Четвер 15.09;5;;;;;;;;;;;;;
П’ятниця 16.09;1;;;;;;;;;;;;;
П’ятниця 16.09;2;;;;;;;;;;;;;
П’ятниця 16.09;3;;;;;;;;;;;;;
П’ятниця 16.09;4;;;;;;;;;;;;;
П’ятниця 16.09;5;;;;;;;;;;;;;
Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;Декан факультету _____________доц. Мізюк В.А.;;;;;;;;;
